全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
352039,FF2099000011,山口県山口市,阿知須いぐらの館,アジスイグラノヤカタ,,352039,10000,山口県山口市阿知須3425,山口県,山口市,阿知須,3425,,34.007995,131.361888,,,1階玄関入口横（事務室前）,(0836)65-2403,,,,,,,,月火金土日,10:00,16:00,水・木曜日（祝日の場合は翌日）、年末年始は休館のため利用不可,有,http://www.c-able.ne.jp/~kyu-naka/,,,,,,
352039,FF2099000012,山口県山口市,山口市立中央図書館,ヤマグチシリツチュウオウトショカン,,352039,130000,山口県山口市中園町7-7,山口県,山口市,中園町,7ｰ7,,34.169425,131.467059,,,1階ｻｰﾋﾞｽｶｳﾝﾀｰ横,(083)901-1040,,,,,,,,月水木金土日,10:00,19:00,"土日は10時から17時まで利用可
休館日（火曜日、年末年始、図書整理日、特別整理期間）は利用不可",,,,,,,,
352039,FF2099000013,山口県山口市,山口市立小郡図書館,ヤマグチシリツオゴオリトショカン,,352039,51000,山口県山口市小郡下郷609-1,山口県,山口市,小郡下郷,609ｰ1,,34.102449,131.392379,,,1階ｻｰﾋﾞｽｶｳﾝﾀｰ横,(083)973-0098,,,,,,,,月水木金土日,10:00,19:00,土日は10時から17時まで利用可。休館日（火曜日、祝日、年末年始、図書整理日、特別整理期間）は利用不可。,,,,,,,,
352039,FF2099000014,山口県山口市,山口市立阿知須図書館,ヤマグチシリツアジストショカン,,352039,10000,山口県山口市阿知須2737-1,山口県,山口市,阿知須,2737ｰ1,,34.014142,131.359876,,,1階ｶｳﾝﾀｰ横,(0836)66-0001,,,,,,,,火水木金土日,10:00,18:00,土日は9時から17時まで利用可。休館日（月曜日、祝日、年末年始、図書整理日、特別整理期間）は利用不可。,,,,,,,,
352039,FF2099000015,山口県山口市,山口市立徳地図書館,ヤマグチシリツトクヂトショカン,,352039,120000,山口県山口市徳地堀1527-3,山口県,山口市,徳地堀,1527ｰ3,,34.190273,131.660286,,,1階図書館入口お知らせ掲示板側,(0835)52-0043,,,,,,,,火水木金土日,10:00,18:00,土日は9時から17時まで利用可。休館日（月曜日、祝日、年末年始、図書整理日、特別整理期間）は利用不可。,,,,,,,,
352039,FF2099000016,山口県山口市,山口市立宮野小学校,ヤマグチシリツミヤノショウガッコウ,,352039,150000,山口県山口市宮野下3017,山口県,山口市,宮野下,3017,,34.19968,131.50592,,,１階玄関,(083)928-0244,,,,,,,,,,,,,,,,,,,
352039,FF2099000017,山口県山口市,山口市立大殿小学校,ヤマグチシリツオオドノショウガッコウ,,352039,39000,山口県山口市大殿大路213,山口県,山口市,大殿大路,213,,34.18269,131.48146,,,１階玄関,(083)922-0343,,,,,,,,,,,,,,,,,,,
352039,FF2099000018,山口県山口市,山口市立白石小学校,ヤマグチシリツシライシショウガッコウ,,352039,93001,山口県山口市白石一丁目10-1,山口県,山口市,白石一丁目,10ｰ1,,34.176905,131.470804,,,１階保健室前,(083)922-0063,,,,,,,,,,,,,,,,,,,
352039,FF2099000019,山口県山口市,山口市立湯田小学校,ヤマグチシリツユダショウガッコウ,,352039,151000,山口県山口市元町2-26,山口県,山口市,元町,2ｰ26,,34.170098,131.458313,,,１階職員昇降口,(083)922-0092,,,,,,,,,,,,,,,,,,,
352039,FF2099000020,山口県山口市,山口市立良城小学校,ヤマグチシリツリョウジョウショウガッコウ,,352039,159003,山口県山口市吉敷佐畑三丁目3-3,山口県,山口市,吉敷佐畑三丁目,3ｰ3,,34.166023,131.429597,,,１階事務室前,(083)922-0003,,,,,,,,,,,,,,,,,,,
352039,FF2099000021,山口県山口市,山口市立大歳小学校,ヤマグチシリツオオトシショウガッコウ,,352039,152000,山口県山口市矢原1486,山口県,山口市,矢原,1486,,34.15007,131.43947,,,１階玄関,(083)922-2466,,,,,,,,,,,,,,,,,,,
352039,FF2099000022,山口県山口市,山口市立平川小学校,ヤマグチシリツヒラカワショウガッコウ,,352039,139000,山口県山口市平井1675-2,山口県,山口市,平井,1675ｰ2,,34.14129,131.45632,,,１階屋内運動場前,(083)922-1789,,,,,,,,,,,,,,,,,,,
352039,FF2099000023,山口県山口市,山口市立陶小学校,ヤマグチシリツスエショウガッコウ,,352039,95000,山口県山口市陶3544,山口県,山口市,陶,3544,,34.09019,131.43034,,,１階玄関奥階段横,(083)972-0703,,,,,,,,,,,,,,,,,,,
352039,FF2099000024,山口県山口市,山口市立名田島小学校,ヤマグチシリツナタジマショウガッコウ,,352039,131000,山口県山口市名田島1538-2,山口県,山口市,名田島,1538ｰ2,,34.076508,131.415205,,,1階保健室横通路,(083)972-0711,,,,,,,,,,,,,,,,,,,
352039,FF2099000025,山口県山口市,山口市立二島小学校,ヤマグチシリツフタジマショウガッコウ,,352039,3000,山口県山口市秋穂二島6165,山口県,山口市,秋穂二島,6165,,34.038055,131.420335,,,１階玄関,(083)987-2009,,,,,,,,,,,,,,,,,,,
352039,FF2099000026,山口県山口市,山口市立嘉川小学校,ヤマグチシリツカガワショウガッコウ,,352039,67000,山口県山口市嘉川4986,山口県,山口市,嘉川,4986,,34.07555,131.37605,,,１階玄関,(083)989-2206,,,,,,,,,,,,,,,,,,,
352039,FF2099000027,山口県山口市,山口市立興進小学校,ヤマグチシリツコウシンショウガッコウ,,352039,29000,山口県山口市江崎2284,山口県,山口市,江崎,2284,,34.05754,131.36983,,,１階玄関,(083)989-2513,,,,,,,,,,,,,,,,,,,
352039,FF2099000028,山口県山口市,山口市立佐山小学校,ヤマグチシリツサヤマショウガッコウ,,352039,168000,山口県山口市佐山2731,山口県,山口市,佐山,2731,,34.03616,131.36053,,,1階体育館入口,(083)989-3020,,,,,,,,,,,,,,,,,,,
352039,FF2099000029,山口県山口市,山口市立鋳銭司小学校,ヤマグチシリツスゼンジショウガッコウ,,352039,96000,山口県山口市鋳銭司4010,山口県,山口市,鋳銭司,4010,,34.08557,131.4567,,,１階理科室前,(083)986-2609,,,,,,,,,,,,,,,,,,,
352039,FF2099000030,山口県山口市,山口市立仁保小学校,ヤマグチシリツニホショウガッコウ,,352039,136000,山口県山口市仁保中郷81,山口県,山口市,仁保中郷,81,,34.214458,131.555444,,,１階玄関,(083)929-0311,,,,,,,,,,,,,,,,,,,
352039,FF2099000031,山口県山口市,山口市立小鯖小学校,ヤマグチシリツオサバショウガッコウ,,352039,90000,山口県山口市下小鯖2519,山口県,山口市,下小鯖,2519,,34.12784,131.52517,,,1階体育館玄関,(083)927-0051,,,,,,,,,,,,,,,,,,,
352039,FF2099000032,山口県山口市,山口市立大内小学校,ヤマグチシリツオオウチショウガッコウ,,352039,36001,山口県山口市大内矢田北一丁目16-1,山口県,山口市,大内矢田北一丁目,16ｰ1,,34.157176,131.500131,,,１階体育館玄関,(083)927-0011,,,,,,,,,,,,,,,,,,,
352039,FF2099000033,山口県山口市,山口市立大内南小学校,ヤマグチシリツオオウチミナミショウガッコウ,,352039,37002,山口県山口市大内矢田南二丁目4-1,山口県,山口市,大内矢田南二丁目,4ｰ1,,34.150508,131.497027,,,１階事務室前,(083)927-7373,,,,,,,,,,,,,,,,,,,
352039,FF2099000034,山口県山口市,山口市立小郡小学校,ヤマグチシリツオゴオリショウガッコウ,,352039,51000,山口県山口市小郡下郷254-3,山口県,山口市,小郡下郷,254ｰ3,,34.106681,131.400233,,,１階体育館通路前,(083)973-0408,,,,,,,,,,,,,,,,,,,
352039,FF2099000035,山口県山口市,山口市立小郡南小学校,ヤマグチシリツオゴオリミナミショウガッコウ,,352039,61000,山口県山口市小郡緑町1-1,山口県,山口市,小郡緑町,1ｰ1,,34.090644,131.399914,,,1階体育館下玄関,(083)973-2521,,,,,,,,,,,,,,,,,,,
352039,FF2099000036,山口県山口市,山口市立秋穂小学校,ヤマグチシリツアイオショウガッコウ,,352039,2000,山口県山口市秋穂東6771,山口県,山口市,秋穂東,6771,,34.01728,131.43614,,,１階玄関,(083)984-2250,,,,,,,,,,,,,,,,,,,
352039,FF2099000037,山口県山口市,山口市立大海小学校,ヤマグチシリツオオミショウガッコウ,,352039,2000,山口県山口市秋穂東2299,山口県,山口市,秋穂東,2299,,34.02136,131.46313,,,１階職員昇降口前,(083)984-2253,,,,,,,,,,,,,,,,,,,
352039,FF2099000038,山口県山口市,山口市立阿知須小学校,ヤマグチシリツアジスショウガッコウ,,352039,10000,山口県山口市阿知須4251,山口県,山口市,阿知須,4251,,34.011402,131.359269,,,１階保健室前,(0836)65-2014,,,,,,,,,,,,,,,,,,,
352039,FF2099000039,山口県山口市,山口市立井関小学校,ヤマグチシリツイセキショウガッコウ,,352039,10000,山口県山口市阿知須1639,山口県,山口市,阿知須,1639,,34.014475,131.340593,,,1階玄関前廊下,(0836)65-2053,,,,,,,,,,,,,,,,,,,
352039,FF2099000040,山口県山口市,山口市立中央小学校,ヤマグチシリツチュウオウショウガッコウ,,352039,120000,山口県山口市徳地堀1551,山口県,山口市,徳地堀,1551,,34.190163,131.66157,,,１階玄関,(0835)52-0198,,,,,,,,,,,,,,,,,,,
352039,FF2099000041,山口県山口市,山口市立島地小学校,ヤマグチシリツシマヂショウガッコウ,,352039,114000,山口県山口市徳地島地16,山口県,山口市,徳地島地,16,,34.158751,131.70026,,,1階体育館入口,(0835)54-0101,,,,,,,,,,,,,,,,,,,
352039,FF2099000043,山口県山口市,山口市立八坂小学校,ヤマグチシリツヤサカショウガッコウ,,352039,122000,山口県山口市徳地八坂1226,山口県,山口市,徳地八坂,1226,,34.238138,131.657756,,,１階正面玄関,(0835)56-0324,,,,,,,,,,,,,,,,,,,
352039,FF2099000045,山口県山口市,山口市立宮野中学校,ヤマグチシリツミヤノチュウガッコウ,,352039,84004,山口県山口市桜畠四丁目9-1,山口県,山口市,桜畠四丁目,9ｰ1,,34.197619,131.501347,,,１階体育館入口,(083)928-0144,,,,,,,,,,,,,,,,,,,
352039,FF2099000046,山口県山口市,山口市立大殿中学校,ヤマグチシリツオオドノチュウガッコウ,,352039,141001,山口県山口市古熊一丁目4-1,山口県,山口市,古熊一丁目,4ｰ1,,34.177082,131.484316,,,１階南校舎正面玄関,(083)922-0688,,,,,,,,,,,,,,,,,,,
352039,FF2099000047,山口県山口市,山口市立白石中学校,ヤマグチシリツシライシチュウガッコウ,,352039,93002,山口県山口市白石二丁目7-1,山口県,山口市,白石二丁目,7ｰ1,,34.176738,131.468943,,,１階正面玄関,(083)922-0387,,,,,,,,,,,,,,,,,,,
352039,FF2099000048,山口県山口市,山口市立湯田中学校,ヤマグチシリツユダチュウガッコウ,,352039,76000,山口県山口市楠木町7-1,山口県,山口市,楠木町,7ｰ1,,34.171803,131.452235,,,１階事務室前,(083)922-1189,,,,,,,,,,,,,,,,,,,
352039,FF2099000049,山口県山口市,山口市立鴻南中学校,ヤマグチシリツコウナンチュウガッコウ,,352039,24004,山口県山口市維新公園四丁目7-1,山口県,山口市,維新公園四丁目,7ｰ1,,34.154007,131.434376,,,１階事務室前,(083)922-2475,,,,,,,,,,,,,,,,,,,
352039,FF2099000050,山口県山口市,山口市立二島中学校,ヤマグチシリツフタジマチュウガッコウ,,352039,3000,山口県山口市秋穂二島10558ｰ1,山口県,山口市,秋穂二島,10558ｰ1,,34.040846,131.424483,,,1階本館外旧昇降口（体育館側）,(083)987-2007,,,,,,,,,,,,,,,,,,,
352039,FF2099000051,山口県山口市,山口市立川西中学校,ヤマグチシリツカワニシチュウガッコウ,,352039,67000,山口県山口市嘉川4352-2,山口県,山口市,嘉川,4352ｰ2,,34.067948,131.367808,,,１階玄関,(083)989-2209,,,,,,,,,,,,,,,,,,,
352039,FF2099000052,山口県山口市,山口市立潟上中学校,ヤマグチシリツカタガミチュウガッコウ,,352039,95000,山口県山口市陶1912,山口県,山口市,陶,1912,,34.07939,131.4319,,,１階玄関,(083)986-2011,,,,,,,,,,,,,,,,,,,
352039,FF2099000053,山口県山口市,山口市立仁保中学校,ヤマグチシリツニホチュウガッコウ,,352039,136000,山口県山口市仁保中郷84,山口県,山口市,仁保中郷,84,,34.21534,131.55829,,,１階玄関,(083)929-0028,,,,,,,,,,,,,,,,,,,
352039,FF2099000054,山口県山口市,山口市立大内中学校,ヤマグチシリツオオウチチュウガッコウ,,352039,34000,山口県山口市大内長野555,山口県,山口市,大内長野,555,,34.154441,131.521136,,,１階体育館玄関,(083)927-0024,,,,,,,,,,,,,,,,,,,
352039,FF2099000055,山口県山口市,山口市立大内中学校氷上分校,ヤマグチシリツオオウチチュウガッコウヒカミブンコウ,,352039,164007,山口県山口市大内氷上七丁目5-1,山口県,山口市,大内氷上七丁目,5ｰ1,,34.161447,131.507045,,,１階玄関,(083)927-3736,,,,,,,,,,,,,,,,,,,
352039,FF2099000056,山口県山口市,山口市立平川中学校,ヤマグチシリツヒラカワチュウガッコウ,,352039,79000,山口県山口市黒川1231-1,山口県,山口市,黒川,1231ｰ1,,34.139555,131.457513,,,１階玄関,(083)924-7700,,,,,,,,,,,,,,,,,,,
352039,FF2099000057,山口県山口市,山口市立小郡中学校,ヤマグチシリツオゴオリチュウガッコウ,,352039,51000,山口県山口市小郡下郷879-1,山口県,山口市,小郡下郷,879ｰ1,,34.105768,131.397978,,,北館1階保健室前,(083)973-0508,,,,,,,,,,,,,,,,,,,
352039,FF2099000058,山口県山口市,山口市立秋穂中学校,ヤマグチシリツアイオチュウガッコウ,,352039,2000,山口県山口市秋穂東10615ｰ1,山口県,山口市,秋穂東,10615ｰ1,,34.014456,131.441068,,,１階管理棟体育館出入口,(083)984-2114,,,,,,,,,,,,,,,,,,,
352039,FF2099000059,山口県山口市,山口市立阿知須中学校,ヤマグチシリツアジスチュウガッコウ,,352039,10000,山口県山口市阿知須5094-3,山口県,山口市,阿知須,5094ｰ3,,34.013406,131.353787,,,１階事務室前,(0836)65-2074,,,,,,,,,,,,,,,,,,,
352039,FF2099000060,山口県山口市,山口市立徳地中学校,ヤマグチシリツトクヂチュウガッコウ,,352039,120000,山口県山口市徳地堀1606-1,山口県,山口市,徳地堀,1606ｰ1,,34.190735,131.659314,,,１階玄関,(0835)52-0039,,,,,,,,,,,,,,,,,,,
352039,FF2099000061,山口県山口市,山口市立生雲小学校,ヤマグチシリツイクモショウガッコウ,,352039,11000,山口県山口市阿東生雲中319,山口県,山口市,阿東生雲中,319,,34.384907,131.599896,,,１階玄関,(083)954-0109,,,,,,,,,,,,,,,,,,,
352039,FF2099000062,山口県山口市,山口市立さくら小学校,ヤマグチシリツサクラショウガッコウ,,352039,18000,山口県山口市阿東地福下1234-1,山口県,山口市,阿東地福下,1234ｰ1,,34.358453,131.66135,,,１階児童昇降口,(083)952-0304,,,,,,,,,,,,,,,,,,,
352039,FF2099000063,山口県山口市,山口市立徳佐小学校,ヤマグチシリツトクサショウガッコウ,,352039,22000,山口県山口市阿東徳佐中3292,山口県,山口市,阿東徳佐中,3292,,34.396088,131.724815,,,１階児童昇降口,(083)956-0024,,,,,,,,,,,,,,,,,,,
352039,FF2099000064,山口県山口市,山口市立阿東中学校,ヤマグチシリツアトウチュウガッコウ,,352039,17000,山口県山口市阿東地福上1874,山口県,山口市,阿東地福上,1874,,34.36043,131.665443,,,１階職員室前,(083)952-0318,,,,,,,,,,,,,,,,,,,
352039,FF2099000065,山口県山口市,山口市立阿東東中学校,ヤマグチシリツアトウヒガシチュウガッコウ,,352039,22000,山口県山口市阿東徳佐中3288-1,山口県,山口市,阿東徳佐中,3288ｰ1,,34.39583,131.72611,,,１階職員室前,(083)956-0039,,,,,,,,,,,,,,,,,,,
352039,FF2099000066,山口県山口市,山口市立仁保幼稚園,ヤマグチシリツニホヨウチエン,,352039,136000,山口県山口市仁保中郷82,山口県,山口市,仁保中郷,82,,34.213339,131.555647,,,１階玄関,(083)929-0043,,,,,,,,月火水木金土,7:30,19:00,日曜日、祝日、臨時休校日は利用不可。,有,,,,,,,
352039,FF2099000067,山口県山口市,山口市立小鯖幼稚園,ヤマグチシリツオサバヨウチエン,,352039,90000,山口県山口市下小鯖2519,山口県,山口市,下小鯖,2519,,34.13023,131.52336,,,１階玄関,(083)927-0054,,,,,,,,月火水木金土,7:30,19:00,日曜日、祝日、臨時休校日は利用不可。,有,,,,,,,
352039,FF2099000068,山口県山口市,山口市立大内幼稚園,ヤマグチシリツオオウチヨウチエン,,352039,36001,山口県山口市大内矢田北一丁目11-24,山口県,山口市,大内矢田北一丁目,11ｰ24,,34.158629,131.501284,,,１階玄関,(083)927-2497,,,,,,,,月火水木金,8:30,16:00,土、日曜日、祝日、臨時休校日は利用不可。,有,,,,,,,
352039,FF2099000069,山口県山口市,山口市立宮野幼稚園,ヤマグチシリツミヤノヨウチエン,,352039,150000,山口県山口市宮野下3000-1,山口県,山口市,宮野下,3000ｰ1,,34.199274,131.50528,,,１階玄関,(083)928-0105,,,,,,,,月火水木金,8:30,16:00,土、日曜日、祝日、臨時休校日は利用不可。,有,,,,,,,
352039,FF2099000070,山口県山口市,山口市立吉敷幼稚園,ヤマグチシリツヨシキヨウチエン,,352039,159004,山口県山口市吉敷佐畑四丁目6-1,山口県,山口市,吉敷佐畑四丁目,6ｰ1,,34.168349,131.429579,,,１階玄関,(083)925-2279,,,,,,,,月火水木金,8:30,16:00,土、日曜日、祝日、臨時休校日は利用不可。,有,,,,,,,
352039,FF2099000071,山口県山口市,山口市立平川幼稚園,ヤマグチシリツヒラカワヨウチエン,,352039,79000,山口県山口市黒川1210-1,山口県,山口市,黒川,1210ｰ1,,34.141572,131.45701,,,１階玄関,(083)924-1661,,,,,,,,月火水木金,8:30,16:00,土、日曜日、祝日、臨時休校日は利用不可。,有,,,,,,,
352039,FF2099000072,山口県山口市,山口市立山口みなみこども園,ヤマグチシリツヤマグチミナミコドモエン,,352039,96000,山口県山口市鋳銭司3922-1,山口県,山口市,鋳銭司,3922ｰ1,,34.083189,131.453779,,,１階玄関,(083)986-2009,,,,,,,,月火水木金土,7:30,18:00,日曜日、祝日、臨時休園日は利用不可。,有,,,,,,,
352039,FF2099000073,山口県山口市,にこにこ学級,ヤマグチシリツナタジマヨウチエン,,352039,131000,山口県山口市名田島1536-1,山口県,山口市,名田島,1536ｰ1,,34.076367,131.415908,,,１階玄関,(083)972-2600,,,,,,,,月火水木金土,14:00,18:00,"土曜日、長期休業期間は朝８時から開所。
日曜日、祝祭日、年末年始は利用不可。",有,,,,,,,
352039,FF2099000074,山口県山口市,大海なかよし学級,オオミナカヨシガッキュウ,,352039,2000,山口県山口市秋穂東2566ｰ2,山口県,山口市,秋穂東,2566ｰ2,,34.019036,131.464868,,,１階玄関,083-984-2658,,,,,,,,月火水木金土,14:00,18:00,"土曜日・長期休業期間は朝８時から開所。
日曜日、祝祭日、年末年始は利用不可。",有,,,,,,,
352039,FF2099000075,山口県山口市,山口市上下水道局,ヤマグチシジョウゲスイドウキョク,,352039,148000,山口県山口市宮島町7-1,山口県,山口市,宮島町,7ｰ1,,34.164785,131.481127,,,１階玄関ホール,(083)933-6676,,,,,,,,,8:30,17:15,,,,,,,,,
352039,FF2099000076,山口県山口市,朝田浄水場,アサダジョウスイジョウ,,352039,8000,山口県山口市朝田28,山口県,山口市,朝田,28,,34.140097,131.433812,,,１階玄関ホール,(083)922-0311,,,,,,,,,8:30,17:15,土、日曜日、祝祭日、年末年始を除く。,有,,,,,,,
352039,FF2099000077,山口県山口市,山口浄化センター,ヤマグチジョウカセンター,,352039,79000,山口県山口市黒川8,山口県,山口市,黒川,8,,34.13522,131.42865,,,１階玄関入口,(083)925-8469,,,,,,,,,8:30,17:15,,,,,,,,,
352039,FF2099000078,山口県山口市,"山口市阿知須健康福祉センター",ヤマグチシアジスケンコウフクシセンター,,352039,10000,山口県山口市阿知須2740,山口県,山口市,阿知須,2740,,34.013608,131.359618,,,１階玄関入口付近,0,,,,,,,,,8:30,17:00,,,,,,,,,
352039,FF2099000079,山口県山口市,山口市老人憩の家寿泉荘,ヤマグチシロウジンイコイノイエジュセンソウ,,352039,155005,山口県山口市湯田温泉五丁目2-21,山口県,山口市,湯田温泉五丁目,2ｰ21,,34.167315,131.456409,,,１階エントランスホール,(083)924-4115,,,,,,,,,,,,,,,,,,,
352039,FF2099000080,山口県山口市,山口市老人憩の家嘉泉荘,ヤマグチシロウジンイコイノイエカセンソウ,,352039,67000,山口県山口市嘉川1439-1,山口県,山口市,嘉川,1439ｰ1,,34.077663,131.377126,,,１階玄関付近,(083)989-4787,,,,,,,,,,,,,,,,,,,
352039,FF2099000081,山口県山口市,山口市老人憩の家潮寿荘,ヤマグチシロウジンイコイノイエチョウジュソウ,,352039,3000,山口県山口市秋穂二島10438ｰ1,山口県,山口市,秋穂二島,10438ｰ1,,34.011175,131.408338,,,１階浴場付近通路,(083)984-2110,,,,,,,,,,,,,,,,,,,
352039,FF2099000082,山口県山口市,山口市小鯖高齢者生きがいセンター,ヤマグチシオゴオリコウレイシャイキガイセンター,,352039,90000,山口県山口市下小鯖654-6,山口県,山口市,下小鯖,654ｰ6,,34.127255,131.522975,,,１階玄関付近,(083)941-0235,,,,,,,,,,,,,,,,,,,
352039,FF2099000083,山口県山口市,山口市大内高齢者生きがいセンター,ヤマグチシオオウチコウレイシャイキガイセンター,,352039,36005,山口県山口市大内矢田北五丁目8ｰ28,山口県,山口市,大内矢田北五丁目,8ｰ28,,34.154448,131.510363,,,１階玄関付近,(083)927-7712,,,,,,,,,,,,,,,,,,,
352039,FF2099000084,山口県山口市,山口市宮野高齢者生きがいセンター,ヤマグチシミヤノコウレイシャイキガイセンター,,352039,150000,山口県山口市宮野下784-3,山口県,山口市,宮野下,784ｰ3,,34.189103,131.50372,,,１階玄関付近,(083)928-8253,,,,,,,,,,,,,,,,,,,
352039,FF2099000085,山口県山口市,山口市吉敷高齢者生きがいセンター,ヤマグチシヨシキコウレイシャイキガイセンター,,352039,159001,山口県山口市吉敷佐畑一丁目10-13,山口県,山口市,吉敷佐畑一丁目,10ｰ13,,34.16538,131.434493,,,１階玄関付近,(083)932-5320,,,,,,,,,,,,,,,,,,,
352039,FF2099000086,山口県山口市,山口市平川高齢者生きがいセンター,ヤマグチシヒラカワコウレイシャイキガイセンター,,352039,79000,山口県山口市黒川866-1,山口県,山口市,黒川,866ｰ1,,34.142321,131.456841,,,１階玄関付近,(083)928-8655,,,,,,,,,,,,,,,,,,,
352039,FF2099000087,山口県山口市,山口市陶高齢者生きがいセンター,ヤマグチシスエコウレイシャイキガイセンター,,352039,95000,山口県山口市陶571,山口県,山口市,陶,571,,34.091351,131.440103,,,１階玄関付近,(083)986-3310,,,,,,,,,,,,,,,,,,,
352039,FF2099000088,山口県山口市,山口市鋳銭司高齢者生きがいセンター,ヤマグチシスゼンジコウレイシャイキガイセンター,,352039,96000,山口県山口市鋳銭司5435-1,山口県,山口市,鋳銭司,5435ｰ1,,34.080496,131.448354,,,１階玄関付近,(083)986-3777,,,,,,,,,,,,,,,,,,,
352039,FF2099000089,山口県山口市,山口市名田島高齢者生きがいセンター,ヤマグチシナタジマコウレイシャイキガイセンター,,352039,131000,山口県山口市名田島1529,山口県,山口市,名田島,1529,,34.077098,131.415277,,,１階玄関付近,(083)972-1135,,,,,,,,,,,,,,,,,,,
